user_id,Attention,MemoryRecall,ProcessingSpeed,Reasoning,WorkingMemory,education_level,country,time_of_day,grand_index,gender_reclassified,age_band_derive,filter_$
1280559,15,7,4,202.5,7,8,US,9,91.919,Male,46-60,1
1280675,17,4,5,213,8,5,US,7,102.244,Male,46-60,1
1285743,13,7,8,189.5,10,4,US,9,125.9,Female,46-60,1
1288767,19,15,5,208,7,3,US,11,106.133,Female,46-60,1
1289901,18,11,6,221,8,3,US,4,104.887,Female,18-30,1
1290658,12,9,5,202.5,9,3,US,12,101.752,Male,18-30,1
1290942,9,4,7,202,8,3,US,10,95.274,Male,46-60,1
1290963,16,8,6,357,8,6,US,18, ,Male,61+,1
1292004,21,9,5,182,9,3,AU,12,113.558,Male,31-45,1
1292828,19,3,6,167.5,9,99,CA,19,112.641,Female,31-45,1
1300723,18,10,5,206,9,4,CA,22,107.879,Female,46-60,1
1303089,12,11,6,309,7,6,US,20,98.428,Female,46-60,1
1304757,23,9,7,215,9,3,AU,20,121.952,Female,46-60,1
1307654,13,3,6,190,10,4,US,13,108.679,Female,18-30,1
1308801,13,13,7,216,10,9,US,13,109.623, ,18-30,1
1310430,17,8,6,232.5,7,4,CA,1,103.57,Female,46-60,1
1316130,14,6,5,195.5,8,5,CA,13,102.838,Male,18-30,1
1317011,10,6,5,244.5,7,3,US,12,88.005,Female,61+,1
1318004,12,15,6,201.5,8,3,US,17,116.496,Male,46-60,1
1326351,18,7,6,243,9,4,CA,20,111.088,Male,18-30,1
1327635,12,9,5,262,10,3,US,15,108.505,Female,46-60,1
1327751,14,2,5,241,9,6,US,17,99.499,Male,31-45,1
1327909,6,1,6,212,6,1,AU,9,78.045,Male,61+,1
1330181,21,4,4,232.5,8,4,US,6,93,Female,46-60,1
1332215,17,10,6,314.5,7,6,US,22,101.12,Female,61+,1
1333220,17,7,6,218.5,7,2,US,10,104.025,Female,46-60,1
1336389,11,4,5,351.5,7,6,US,17,76.746,Female,61+,1
1337812,12,3,6,211,8,9,CA,23,89.608,Male,31-45,1
1341364,15,6,6,269,8,2,US,8,102.244,Female,46-60,1
1344409,8,7,4,232,6,99,US,7,83.244,Female,46-60,1
1346179,8,8,4,249.5,9,8,US,13,95.274,Female,46-60,1
1346829,13,8,5,212,8,3,US,10,109.899,Male,31-45,1
1347468,20,3,4,243.5,8,2,AU,10,95.91,Female,46-60,1
1348104,15,5,5,594,8,6,US,15, ,Male,46-60,1
1352401,13,18,9,205.5,9,4,US,9,128.492,Female,18-30,1
1355153,11,2,5,197,7,3,US,22,90.698,Male,18-30,1
1355616,22,7,5,207,8,4,CA,6,119.363,Male,18-30,1
1356,8,1,5,207.5,7,4,US,17,89.751,Female,46-60,1
1357382,16,14,4,256,8,9,AU,19,100.959, ,31-45,1
1357461,20,9,6,198.5,8,4,AU,11,104.887,Female,46-60,1
1360581,17,11,7,184.5,8,2,US,12,108.193,Female,18-30,1
1361705,24,15,7,180,9,5,US,22,132.178,Female,18-30,1
1362444,23,7,8,192.5,9,6,US,13,131.742,Female,18-30,1
1367532,15,7,6,232,9,8,US,7,104.744,Female,31-45,1
1368159,16,6,6,214.5,8,6,US,15,98.278,Male,31-45,1
1370063,21,9,7,208,8,4,US,4,120.797,Male,31-45,1
1370329,12,4,6,249,8,4,US,11,97.994,Male,31-45,1
1372329,11,5,5,252,7,3,US,1,87.364,Male,18-30,1
1373268,18,11,6,195,8,9,CA,21,122.777,Female,31-45,1
1374371,18,12,7,212,8,3,US,17,119.094,Male,18-30,1
1375193,11,13,7,241,5,4,US,10,104.31,Male,18-30,1
1380219,18,7,7,212.5,7,3,US,14,110.259,Female,18-30,1
1380302,18,11,7,220.5,8,9,US,4,115.699, ,31-45,1
1382120,21,10,5,225,8,3,CA,11,109.764,Female,31-45,1
1385251,25,16,6,258.5,7,6,CA,16,119.363,Male,18-30,1
1386382,5,4,5,246,7,3,US,8,77.713,Female,46-60,1
1389086,18,4,6,207.5,7,4,US,22,108.041,Male,31-45,1
1389601,15,7,6,380.5,8,4,US,14,95.274,Male,61+,1
1390601,9,11,7,220.5,8,2,AU,9,109.487,Female,31-45,1
1390873,17,10,5,214.5,8,1,AU,10,109.322,Male,46-60,1
1393376,12,5,5,283,7,4,US,14,85.114,Male,61+,1
1393820,12,10,5,218.5,9,4,US,16,98.706,Male,18-30,1
1394272,17,7,7,242,8,6,US,10,115.699,Female,46-60,1
1394788,17,4,4,216,7,4,US,9,94.975,Male,61+,1
1394860,7,2,4,825,7,3,US,11, ,Male,31-45,1
1396094,11,8,3,179.5,9,3,US,22,101.295,Female,31-45,1
1396334,13,7,5,332,8,3,CA,23,92.225,Male,61+,1
1397886,20,8,5,193,8,4,US,13,108.505,Female,46-60,1
1399095,10,3,3,237,7,8,US,20,69.667,Female,31-45,1
1406511,8,9,5,195,9,4,US,9,94.264,Female,46-60,1
1406725,19,14,5,178,8,5,US,7,109.623,Male,46-60,1
1407543,19,12,6,184,10,3,US,20,131.489,Male,18-30,1
