user_id,Attention,MemoryRecall,ProcessingSpeed,Reasoning,WorkingMemory,education_level,country,time_of_day,grand_index,gender_reclassified,age_band_derive,filter_$,cognitive_composite_score
53436446,11.0,6.0,4.0,333.5,6.0,4.0,AU,11.0,77.713,Female,,1,72.1
53438587,16.0,5.0,4.0,239.0,8.0,6.0,US,0.0,95.274,Female,,1,54.4
53443974,19.0,12.0,7.0,188.0,7.0,4.0,AU,7.0,119.224,Male,,1,46.6
53449024,15.0,11.0,7.0,228.0,8.0,6.0,US,13.0,117.429,Female,,1,53.8
53455640,17.0,8.0,5.0,254.0,9.0,4.0,US,12.0,102.244,Female,,1,58.6
53456166,15.0,8.0,4.0,264.0,7.0,5.0,US,8.0,89.479,Male,,1,59.6
53457206,6.0,3.0,4.0,299.0,6.0,3.0,US,16.0,72.468,Female,,1,63.6
53462088,12.0,4.0,3.0,276.5,8.0,9.0,CA,8.0,84.494, ,,1,60.7
53466429,10.0,1.0,7.0,219.5,8.0,4.0,US,18.0,89.12,Male,,1,49.1
53470915,17.0,6.0,6.0,207.5,8.0,2.0,US,18.0,103.711,Female,,1,48.9
53472393,15.0,6.0,4.0,217.5,7.0,4.0,US,15.0,95.274,Male,,1,49.9
53475728,10.0,5.0,6.0,237.0,8.0,2.0,US,8.0,90.172,Male,,1,53.2
53476018,22.0,9.0,5.0,242.5,8.0,9.0,US,16.0,104.31, ,,1,57.3
53479121,15.0,3.0,4.0,203.5,7.0,3.0,US,11.0,95.274,Female,,1,46.5
53483882,9.0,5.0,5.0,208.0,9.0,3.0,US,20.0,93.815,Male,,1,47.2
53485464,17.0,8.0,5.0,234.0,8.0,5.0,US,19.0,100.378,Female,,1,54.4
53488490,10.0,5.0,6.0,273.5,8.0,9.0,US,6.0,94.264, ,,1,60.5
53492189,8.0,4.0,5.0,289.0,7.0,6.0,US,14.0,84.494,Female,,1,62.6
534962,17.0,10.0,8.0,385.0825369944426,9.0,3.0,US,16.0,104.025,Male,,1,85.81650739888852
53497559,15.0,10.0,6.0,322.0,9.0,3.0,US,9.0,106.458,Male,,1,72.4
53499759,10.0,3.0,4.0,297.0,7.0,4.0,US,11.0,74.93,Female,,1,64.2
535011,15.0,5.0,6.0,221.5,8.0,42.43419651522588,US,15.0,99.499,Female,,1,51.1
53505964,13.0,9.0,5.0,240.0,8.0,9.0,CA,21.0,101.12,Female,,1,55.0
53510487,19.0,15.0,5.0,162.0,6.0,2.0,US,8.0,105.208,Male,,1,41.4
53510765,10.0,2.0,7.0,385.0825369944426,7.0,4.0,CA,8.0,104.025,Male,,1,82.21650739888852
53514175,16.0,7.0,5.0,195.0,8.0,3.0,US,5.0,102.244,Male,,1,46.2
53519176,18.0,7.0,5.0,242.5,9.0,6.0,US,8.0,101.295,Female,,1,56.3
53519350,16.0,12.0,5.0,282.0,7.0,5.0,US,18.0,102.383,Female,,1,64.4
53531637,13.0,3.0,3.0,246.5,9.0,6.0,US,10.0,87.844,Male,,1,54.9
53532972,13.0,8.0,6.0,287.0,8.0,7.0,US,8.0,93.171,Male,,1,64.4
53534384,14.0,11.0,5.0,223.5,7.0,4.0,CA,18.0,100.223,Male,,1,52.1
53537293,19.0,12.0,6.0,173.5,10.0,2.0,US,8.0,135.854,Female,,1,44.1
53543772,15.0,7.0,4.0,267.0,10.0,9.0,US,19.0,100.069, ,,1,60.6
53546485,18.0,10.0,6.0,305.5,7.0,4.0,US,10.0,107.732,Female,,1,69.3
53550077,16.0,4.0,5.0,201.5,8.0,7.0,US,11.0,88.953,Female,,1,46.9
53551004,15.0,12.0,5.0,185.0,8.0,4.0,US,17.0,119.224,Female,,1,45.0
53553230,16.0,14.0,4.0,200.5,9.0,3.0,US,5.0,106.458,Male,,1,48.7
53553680,12.0,5.0,5.0,327.0,8.0,6.0,CA,8.0,86.443,Male,,1,71.4
53557,18.0,10.0,7.0,173.5,9.0,3.0,US,20.0,126.923, ,,1,43.5
53557096,19.0,16.0,7.0,242.5,8.0,6.0,US,7.0,116.183,Male,,1,58.5
53557238,13.0,7.0,5.0,263.0,8.0,4.0,US,14.0,93.969,Female,,1,59.2
53563971,16.0,9.0,5.0,221.5,9.0,4.0,US,13.0,101.752,Female,,1,52.1
53565268,23.0,16.0,4.0,178.0,7.0,4.0,US,14.0,117.583,Male,,1,45.6
535663,14.0,9.0,5.0,197.0,7.0,42.43419651522588,US,17.0,96.904,Male,,1,46.4
53584984,9.0,6.0,4.0,229.0,6.0,5.0,AU,10.0,81.071,Female,,1,50.8
53586614,21.0,3.0,6.0,223.5,10.0,6.0,AU,8.0,116.496,Male,,1,52.7
535868,17.0,3.0,6.0,303.0,9.0,3.0,US,9.0,97.352,Female,,1,67.6
53588307,11.0,7.0,5.0,369.5,9.0,3.0,US,21.0,87.012,Female,,1,80.3
53588501,21.0,10.0,6.0,218.5,6.0,6.0,US,8.0,103.27,Female,,1,52.3
53590210,9.0,1.0,6.0,210.0,9.0,5.0,AU,21.0,95.274,Male,,1,47.0
53591388,12.0,11.0,5.0,207.0,7.0,3.0,US,19.0,95.91,Female,,1,48.4
53594557,16.0,19.0,7.0,185.0,9.0,3.0,AU,11.0,133.211,Female,,1,47.2
53596687,13.0,9.0,5.0,207.0,7.0,6.0,US,17.0,93.969,Male,,1,48.2
53598214,18.0,10.0,5.0,184.0,9.0,6.0,US,18.0,113.912,Female,,1,45.2
53599249,11.0,9.0,5.0,221.5,8.0,4.0,US,9.0,101.295,Female,,1,50.9
53603515,19.0,9.0,6.0,261.5,8.0,9.0,US,13.0,108.836,Female,,1,60.7
53606193,15.0,11.0,4.0,171.5,7.0,5.0,US,23.0,106.458,Female,,1,41.7
53606439,10.0,11.0,4.0,192.5,7.0,3.0,US,12.0,95.457,Female,,1,44.9
53614008,21.0,5.0,6.0,250.0,8.0,4.0,AU,16.0,108.989,Male,,1,58.0
53621814,16.0,6.0,8.0,202.0,8.0,42.43419651522588,NZ,11.0,114.916,Male,,1,48.0
53625104,13.0,1.0,6.0,209.0,8.0,7.0,AU,11.0,94.415,Female,,1,47.4
53628167,12.0,11.0,4.0,286.0,7.0,3.0,US,18.0,93.349,Male,,1,64.0
53630311,14.0,6.0,5.0,238.5,7.0,6.0,US,12.0,96.904,Female,,1,54.1
53637853,17.0,11.0,3.0,251.0,9.0,5.0,US,14.0,98.428,Female,,1,58.2
53645379,6.0,3.0,4.0,262.0,7.0,3.0,US,19.0,71.995,Female,,1,56.4
53646789,18.0,12.0,6.0,243.0,9.0,4.0,US,3.0,110.744,Female,,1,57.6
53648965,19.0,11.0,6.0,317.5,9.0,4.0,CA,10.0,101.295,Female,,1,72.5
53651238,13.0,5.0,5.0,252.5,8.0,5.0,US,9.0,92.842,Female,,1,56.7
53653428,16.0,2.0,3.0,189.0,11.0,4.0,US,17.0,100.223,Male,,1,44.2
53653527,20.0,12.0,8.0,274.0,10.0,4.0,US,16.0,131.232,Male,,1,64.8
53655021,14.0,10.0,6.0,225.5,8.0,9.0,NZ,13.0,106.133,Female,,1,52.7
53657787,5.0,8.0,6.0,241.5,7.0,8.0,US,13.0,88.516,Female,,1,53.5
53662885,10.0,5.0,4.0,309.0,8.0,4.0,US,15.0,84.494,Female,,1,67.2
53665908,23.0,17.0,6.0,252.0,9.0,5.0,US,10.0,127.104,Male,,1,61.4
53668057,22.0,12.0,7.0,185.5,10.0,1.0,AU,6.0,132.178,Female,,1,47.3
53668521,9.0,6.0,6.0,228.5,7.0,3.0,AU,6.0,94.264,Male,,1,51.3
53670756,11.0,6.0,5.0,256.0,7.0,4.0,US,12.0,86.303,Male,,1,57.0
53671168,15.0,8.0,6.0,216.0,9.0,4.0,US,13.0,112.641,Female,,1,50.8
53673029,14.0,9.0,4.0,300.5,8.0,9.0,CA,9.0,96.035, ,,1,67.1
53674158,15.0,9.0,6.0,224.0,9.0,4.0,AU,12.0,106.616,Male,,1,52.6
53678950,22.0,7.0,7.0,217.0,9.0,7.0,AU,20.0,118.805,Female,,1,52.4
53679869,10.0,5.0,6.0,225.5,8.0,2.0,AU,9.0,88.516,Female,,1,50.9
